충전소위치,충전소위치상세,휴점일,이용가능시작시간,이용가능종료시간,완속충전가능여부,급속충전가능여부,급속충전기타입,완속충전기개수,급속충전기개수,주차료부과여부,행정구역,지번주소,도로명주소,관리업체,위도,경도,제공기관명,기준일,위도경도
봉개동공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 봉개동 1854-1,,환경부,33.490736,126.595291,환경부,20240926.0,"[33.490736, 126.595291]"
북촌 너븐숭이4.3 기념관,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,1,True,제주시,제주특별자치도 제주시 조천읍 북촌리 1599,제주특별자치도 제주시 조천읍 북촌3길 3,환경부,33.545812,126.688761,환경부,20240926.0,"[33.545812, 126.688761]"
메밀가공시설,알수없음,"토,일 미개방",09:00,19:00,False,True,DC콤보,0,2,False,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 211,제주특별자치도 서귀포시 안덕면 산록남로 675,환경부,33.328104,126.379729,환경부,20240926.0,"[33.328104, 126.379729]"
제스코 서귀포점,알수없음,"토,일 미개방",09:00,19:00,False,True,DC콤보,0,2,False,서귀포시,제주특별자치도 서귀포시 상효동 754-1,제주특별자치도 서귀포시 상효로 39,환경부,33.262444,126.595899,환경부,20240926.0,"[33.262444, 126.595899]"
서귀포농업기술센터,알수없음,"토,일 미개방",09:00,19:00,True,True,DC콤보,3,3,False,서귀포시,제주특별자치도 서귀포시 남원읍 하례리 1558,제주특별자치도 서귀포시 남원읍 중산간동로 7413,환경부,33.2879134,126.6065523,환경부,20240926.0,"[33.2879134, 126.6065523]"
서귀포쓰레기위생매립장,알수없음,"토,일 미개방",09:00,19:00,False,True,DC차데모+AC3상+DC콤보,0,2,True,서귀포시,제주특별자치도 서귀포시 색달동 산 8-2,제주특별자치도 서귀포시 산록남로1241번길 145,환경부,33.3072045,126.4192764,환경부,20240926.0,"[33.3072045, 126.4192764]"
제주추사관,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,3,True,서귀포시,제주특별자치도 서귀포시 대정읍 안성리 1642-4,제주특별자치도 서귀포시 대정읍 추사로36번길 1,환경부,33.2505593,126.2792051,환경부,20240926.0,"[33.2505593, 126.2792051]"
하효마을다목적회관,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,서귀포시,제주특별자치도 서귀포시 하효동 603,제주특별자치도 서귀포시 칠십리로 740,환경부,33.2578779,126.6179698,환경부,20240926.0,"[33.2578779, 126.6179698]"
선흘리 낙선동4.3 유적지,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 조천읍 선흘리 2720,제주특별자치도 제주시 조천읍 선흘서5길 7,환경부,33.5154658,126.6937777,환경부,20240926.0,"[33.5154658, 126.6937777]"
제주현대미술관,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,2,True,제주시,제주특별자치도 제주시 한경면 저지리 2114-68,,환경부,33.338358,126.265658,환경부,20240926.0,"[33.338358, 126.265658]"
안덕면사무소,알수없음,연중무휴,00:00,24:00,True,True,DC콤보,4,4,True,서귀포시,,제주특별자치도 서귀포시 안덕면 화순서로 74,환경부,33.257492,126.330668,환경부,20240926.0,"[33.257492, 126.330668]"
성읍119지역센터,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,1,True,서귀포시,,제주특별자치도 서귀포시 성산읍 성읍서문로 75,환경부,33.3834415,126.7943009,환경부,20240926.0,"[33.3834415, 126.7943009]"
남원중앙동공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,서귀포시,,제주특별자치도 서귀포시 남원읍 태위로 657번길 2,환경부,33.2790218,126.7167971,환경부,20240926.0,"[33.2790218, 126.7167971]"
대륜동주민센터,알수없음,연중무휴,00:00,24:00,True,True,DC차데모+AC3상+DC콤보,2,1,True,서귀포시,제주특별자치도 서귀포시 일주동로 9158,,환경부,33.24813,126.51153,환경부,20240926.0,"[33.24813, 126.51153]"
중앙공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,False,서귀포시,제주특별자치도 서귀포시 서귀동 291-63(3),,환경부,33.2500756,126.5619914,환경부,20240926.0,"[33.2500756, 126.5619914]"
사려니숲길 주차장,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,3,True,제주시,제주특별자치도 제주시 봉개동 2750-2,,환경부,33.434197,126.637593,환경부,20240926.0,"[33.434197, 126.637593]"
사려니숲길 주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,3,True,제주시,제주특별자치도 제주시 봉개동 2750-2,,환경부,33.434197,126.637593,환경부,20240926.0,"[33.434197, 126.637593]"
애월읍사무소,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,True,제주시,제주특별자치도 제주시 애월읍 애월리 241-1,제주특별자치도 제주시 애월읍 일주서로 6322,환경부,33.462511,126.32973,환경부,20240926.0,"[33.462511, 126.32973]"
한국교통안전공단제주자동차검사소,알수없음,"일,공휴일미개방",08:00,13:00,False,True,DC차데모+AC3상+DC콤보,0,2,False,제주시,제주특별자치도 제주시 도련이동 568-1,제주특별자치도 제주시 삼봉로 79,환경부,33.514325,126.589355,환경부,20240926.0,"[33.514325, 126.589355]"
제주도립미술관,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 연동 680-7,제주특별자치도 제주시 1100로 2894-78,환경부,33.453067,126.488257,환경부,20240926.0,"[33.453067, 126.488257]"
조천읍사무소,알수없음,연중무휴,00:00,24:00,True,True,DC콤보,3,3,True,제주시,제주특별자치도 제주시 조천읍 조천리 3147-2,제주특별자치도 제주시 조천읍 신북로 194,환경부,33.5346491,126.6338893,환경부,20240926.0,"[33.5346491, 126.6338893]"
일출랜드,알수없음,연중무휴,09:00,18:00,True,True,DC콤보,2,2,True,서귀포시,제주특별자치도 서귀포시 성산읍 삼달리 1010,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,환경부,33.381622,126.84219,환경부,20240926.0,"[33.381622, 126.84219]"
제주항일기념관,알수없음,"토,일 미개방",09:00,19:00,False,True,DC콤보,0,2,False,제주시,제주특별자치도 제주시 조천읍 조천리 1156,제주특별자치도 제주시 조천읍 신북로 303,환경부,33.541106,126.643424,환경부,20240926.0,"[33.541106, 126.643424]"
양지(추모)공원,알수없음,"토,일 미개방",09:00,19:00,False,True,DC콤보,0,2,False,제주시,제주특별자치도 제주시 영평동 2261,제주특별자치도 제주시 516로 2810-31,환경부,33.43966,126.579013,환경부,20240926.0,"[33.43966, 126.579013]"
홍로공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,4,True,서귀포시,제주특별자치도 서귀포시 동홍동 1480-6,제주특별자치도 서귀포시 장수로 57,환경부,33.2559159,126.5607351,환경부,20240926.0,"[33.2559159, 126.5607351]"
홍로공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,True,서귀포시,제주특별자치도 서귀포시 동홍동 1480-6,제주특별자치도 서귀포시 장수로 57,환경부,33.2559159,126.5607351,환경부,20240926.0,"[33.2559159, 126.5607351]"
돌문화공원,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,3,True,제주시,제주특별자치도 제주시 조천읍 교래리 산 95,제주특별자치도 제주시 조천읍 남조로 2023,환경부,33.446122,126.664039,환경부,20240926.0,"[33.446122, 126.664039]"
돌문화공원,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,3,True,제주시,제주특별자치도 제주시 조천읍 교래리 산 95,제주특별자치도 제주시 조천읍 남조로 2023,환경부,33.446122,126.664039,환경부,20240926.0,"[33.446122, 126.664039]"
제스코마트,알수없음,연중무휴,00:00,24:00,False,True,DC차데모+AC3상+DC콤보,0,3,True,제주시,제주특별자치도 제주시 도남동 277,제주특별자치도 제주시 연북로 444,환경부,33.480929,126.529513,환경부,20240926.0,"[33.480929, 126.529513]"
제스코마트,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,3,True,제주시,제주특별자치도 제주시 도남동 277,제주특별자치도 제주시 연북로 444,환경부,33.480929,126.529513,환경부,20240926.0,"[33.480929, 126.529513]"
서귀포보건소,알수없음,연중무휴,00:00,24:00,True,True,DC콤보,8,1,True,서귀포시,제주특별자치도 서귀포시 서홍동 447-3,제주특별자치도 서귀포시 중앙로101번길 52,환경부,33.253073,126.555591,환경부,20240926.0,"[33.253073, 126.555591]"
남원119센터,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 남원읍 남원리 1499-3,제주특별자치도 서귀포시 남원읍 남원체육관로221번길 23,환경부,33.2814822,126.7086083,환경부,20240926.0,"[33.2814822, 126.7086083]"
홍로공영주차장,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,4,False,서귀포시,제주특별자치도 서귀포시 동홍동 1480-6,제주특별자치도 서귀포시 장수로 57,환경부,33.2559773,126.5607432,환경부,20240926.0,"[33.2559773, 126.5607432]"
서귀포시 교통행정과(공영버스 차고지),알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 토평동 1768-1,제주특별자치도 서귀포시 토평공단로 20,환경부,33.284338,126.588341,환경부,20240926.0,"[33.284338, 126.588341]"
국민건강보험공단 서귀포지사,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,1,True,서귀포시,제주특별자치도 서귀포시 강정동 154-2,제주특별자치도 서귀포시 신서귀로51번길 38,환경부,33.254949,126.507328,환경부,20240926.0,"[33.254949, 126.507328]"
용담1동주민센터,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,제주시,제주특별자치도 제주시 용담일동 244-1,제주특별자치도 제주시 용남3길 7,환경부,33.509217,126.513524,환경부,20240926.0,"[33.509217, 126.513524]"
라마다프라자제주호텔,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,1,True,제주시,제주특별자치도 제주시 삼도이동 1254,제주특별자치도 제주시 탑동로 66,환경부,33.518486,126.518645,환경부,20240926.0,"[33.518486, 126.518645]"
서귀포항 해운항만과 사무실,알수없음,연중무휴,00:00,24:00,False,True,DC콤보,0,2,True,서귀포시,제주특별자치도 서귀포시 서귀동 783-7,제주특별자치도 서귀포시 칠십리로72번길 1,환경부,33.2395947,126.5644855,환경부,20240926.0,"[33.2395947, 126.5644855]"
